Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1630000,0.0026059444,1.3951792,999.0,-1.125,-1.125,1.0
1640000,0.0048974776,1.3954892,999.0,0.006861259314146909,0.006861259314146909,1.0
1650000,0.0017062637,1.3956717,999.0,0.0,0.0,1.0
1660000,0.0024747995,1.3959001,999.0,0.03111110793219672,0.03111110793219672,1.0
1670000,1.973412e-05,1.3961016,999.0,0.0,0.0,1.0
1680000,0.0018236792,1.395934,999.0,0.0,0.0,1.0
1690000,0.00011561737,1.3957094,999.0,0.0,0.0,1.0
1700000,0.0014848395,1.3958021,999.0,0.0,0.0,1.0
1710000,0.0028450247,1.3961118,999.0,0.0,0.0,1.0
1720000,-0.0012222262,1.3961059,999.0,0.0,0.0,1.0
1730000,0.002042408,1.3960253,999.0,0.0,0.0,1.0
1740000,0.002479822,1.3960253,999.0,-0.2222222222222222,-0.2222222222222222,1.0
1750000,0.0017490012,1.396847,999.0,0.0,0.0,1.0
1760000,0.0008489266,1.396871,999.0,0.0,0.0,1.0
1770000,0.002564967,1.3965775,999.0,0.00777777698304918,0.00777777698304918,1.0
1780000,0.0032532893,1.3965238,999.0,0.0,0.0,1.0
1790000,0.0027133084,1.3951495,999.0,0.0,0.0,1.0
1800000,0.0028047508,1.3946667,999.0,0.0,0.0,1.0
1810000,0.004021819,1.394486,999.0,0.0,0.0,1.0
1820000,0.0044006845,1.3943366,999.0,0.0054545449939641085,0.0054545449939641085,1.0
1830000,0.0012306899,1.3940979,999.0,0.0,0.0,1.0
1840000,0.0039888034,1.393751,999.0,0.0,0.0,1.0
1850000,0.0039105057,1.3935912,999.0,0.0,0.0,1.0
1860000,0.0040739784,1.3932401,999.0,0.0,0.0,1.0
1870000,0.002275868,1.393213,999.0,0.0,0.0,1.0
1880000,0.0035200764,1.3931005,999.0,0.0,0.0,1.0
1890000,0.0037284195,1.3931005,999.0,0.0,0.0,1.0
1900000,0.0031634038,1.3931607,999.0,0.0,0.0,1.0
1910000,0.0018477465,1.39316,999.0,0.0,0.0,1.0
1920000,0.0018047865,1.393169,999.0,0.0,0.0,1.0
1930000,0.005073514,1.3931675,999.0,0.0,0.0,1.0
1940000,0.003390849,1.3923866,999.0,0.0,0.0,1.0
1950000,0.0031101168,1.392121,999.0,0.0,0.0,1.0
1960000,0.0030171748,1.3917259,999.0,0.0,0.0,1.0
1970000,0.0020866916,1.3915213,999.0,0.0,0.0,1.0
